source_e(MeV)	NPS	det_pulse (MeVee)	det_cell	corr_count	PSD	time(s)  cells_history	
2.27526	13	0.208966	1	no	0.349828	1.10639e-08	4	1
2.39697	71	0.145698	1	no	0.313152	8.81929e-09	4	1
1.8923	153	0.190992	1	no	0.315763	8.06432e-09	4	1
2.60714	169	0.0381088	1	no	0.232499	8.05244e-09	4	1
2.78702	182	0.143887	1	no	0.335363	1.02458e-08	4	1
2.31262	250	0.142562	1	no	0.311433	1.24749e-08	4	1
2.76823	327	0.567406	1	no	0.346832	6.10306e-09	4	1
1.91067	354	0.165541	1	no	0.314551	6.47191e-09	4	1
2.32487	390	0.101786	1	no	0.255213	6.6217e-09	4	1
2.22234	422	0.473683	1	no	0.383145	9.97695e-09	4	1
2.36776	506	0.499835	1	no	0.377123	6.35676e-09	4	1
2.35923	553	0.0610286	1	no	0.176133	1.25282e-08	4	1
2.38813	640	0.199287	1	no	0.331346	6.21116e-09	4	1
2.01336	724	0.0476311	1	no	0.1852	6.51383e-09	4	1
2.79112	741	0.347925	1	no	0.312755	5.5633e-09	4	1
3.00379	765	0.0692073	1	no	0.337929	6.31931e-09	4	1
2.59383	774	0.441065	1	no	0.37532	9.16939e-09	4	1
2.83592	790	0.365782	1	no	0.382826	5.99608e-09	4	1
2.5731	872	0.0603471	1	no	0.325266	6.93711e-09	4	1
2.44033	894	0.427726	1	no	0.352697	6.2804e-09	4	1
2.2705	1001	0.334431	1	no	0.384127	6.63826e-09	4	1
1.85497	1016	0.242654	1	no	0.345719	6.84246e-09	4	1
2.98676	1041	0.429615	1	no	0.346705	5.57671e-09	4	1
2.02729	1105	0.208907	1	no	0.347036	7.33645e-09	4	1
2.74621	1155	0.214009	1	no	0.335487	5.78361e-09	4	1
2.38913	1178	0.232586	1	no	0.358255	9.01558e-09	4	1
1.74697	1193	0.0527331	1	no	0.276219	1.35742e-08	4	1
3.28654	1194	0.75244	1	no	0.368349	7.17031e-09	4	1
2.39065	1210	0.4213	1	no	0.373145	6.98991e-09	4	1
2.80552	1248	0.614629	1	no	0.373158	5.61525e-09	4	1
2.44445	1258	0.316574	1	no	0.407886	9.02083e-09	4	1
2.16858	1260	0.343466	1	no	0.379748	7.41475e-09	4	1
2.68413	1310	0.233151	1	no	0.381859	8.41471e-09	4	1
2.2636	1364	0.138785	1	no	0.416725	5.90108e-09	4	1
2.74036	1387	0.322377	1	no	0.396738	6.04942e-09	4	1
1.99794	1396	0.0412829	1	no	0.368868	9.79934e-09	4	1
2.36971	1399	0.0750103	1	no	0.286604	6.39744e-09	4	1
