source_e (MeV)	NPS	det_pulse (MeVee)	det_cell	corr_count	PSD	time (s)	cells_history
2.27526	13	0.22203	1	no	0.37454	1.10639e-08	4	1
2.39697	71	0.165307	1	no	0.318193	8.81929e-09	4	1
1.8923	153	0.170481	1	no	0.342538	8.06432e-09	4	1
2.60714	169	0.0310072	1	no	0.264115	8.05244e-09	4	1
2.78702	182	0.150095	1	no	0.397486	1.02458e-08	4	1
2.31262	250	0.145621	1	no	0.322335	1.24749e-08	4	1
2.76823	327	0.585188	1	no	0.410897	6.10306e-09	4	1
1.91067	354	0.19079	1	no	0.386011	6.47191e-09	4	1
2.32487	390	0.103623	1	no	0.428759	6.6217e-09	4	1
2.22234	422	0.464252	1	no	0.402958	9.97695e-09	4	1
2.36776	506	0.525333	1	no	0.375361	6.35676e-09	4	1
2.35923	553	0.0457327	1	no	0.193535	1.25282e-08	4	1
2.38813	640	0.20106	1	no	0.309404	6.21116e-09	4	1
2.01336	724	0.0737247	1	no	0.284169	6.51383e-09	4	1
2.79112	741	0.390235	1	no	0.386072	5.5633e-09	4	1
3.00379	765	0.0825561	1	no	0.229265	6.31931e-09	4	1
2.59383	774	0.425969	1	no	0.331354	9.16939e-09	4	1
2.83592	790	0.382571	1	no	0.315554	5.99608e-09	4	1
2.5731	872	0.056451	1	no	0.313232	6.93711e-09	4	1
2.44033	894	0.430502	1	no	0.345759	6.2804e-09	4	1
2.32457	899	0.0101153	1	no	0.0615385	7.00813e-09	4	1
2.2705	1001	0.369207	1	no	0.352845	6.63826e-09	4	1
1.85497	1016	0.185693	1	no	0.358894	6.84246e-09	4	1
2.98676	1041	0.432933	1	no	0.395129	5.57671e-09	4	1
2.02729	1105	0.231659	1	no	0.345705	7.33645e-09	4	1
2.74621	1155	0.197812	1	no	0.349592	5.78361e-09	4	1
2.38913	1178	0.241132	1	no	0.381897	9.01558e-09	4	1
1.74697	1193	0.0450324	1	no	0.294168	1.35742e-08	4	1
3.28654	1194	0.730497	1	no	0.404282	7.17031e-09	4	1
2.39065	1210	0.372417	1	no	0.406425	6.98991e-09	4	1
2.80552	1248	0.619074	1	no	0.378319	5.61525e-09	4	1
2.44445	1258	0.328513	1	no	0.346459	9.02083e-09	4	1
2.16858	1260	0.392784	1	no	0.409519	7.41475e-09	4	1
2.68413	1310	0.22524	1	no	0.389239	8.41471e-09	4	1
2.2636	1364	0.136751	1	no	0.39431	5.90108e-09	4	1
2.74036	1387	0.341254	1	no	0.361398	6.04942e-09	4	1
1.99794	1396	0.049487	1	no	0.191431	9.79934e-09	4	1
2.36971	1399	0.081992	1	no	0.285884	6.39744e-09	4	1
3.09011	1437	0.452075	1	no	0.405207	9.49888e-09	4	1
2.96412	1508	0.341215	1	no	0.350265	6.19699e-09	4	1
2.23804	1540	0.0234402	1	no	0.404979	6.72684e-09	4	1
1.88919	1640	0.253971	1	no	0.360447	9.30989e-09	4	1
2.43145	1647	0.558538	1	no	0.370285	6.9362e-09	4	1
2.35831	1658	0.204134	1	no	0.363636	7.36427e-09	4	1
2.74243	1712	0.475048	1	no	0.356169	5.60835e-09	4	1
2.49402	1761	0.236678	1	no	0.332703	6.11859e-09	4	1
2.71464	1798	0.0615475	1	no	0.236094	7.11647e-09	4	1
1.58546	1834	0.0736858	1	no	0.213833	7.99637e-09	4	1
2.42217	1905	0.435423	1	no	0.442593	5.76966e-09	4	1
2.42844	1913	0.147508	1	no	0.331004	8.43158e-09	4	1
2.88906	1916	0.40747	1	no	0.33537	6.12557e-09	4	1
2.33472	1970	0.0857269	1	no	0.250737	6.65204e-09	4	1
2.1555	1990	0.33287	1	no	0.337716	9.05958e-09	4	1
2.48196	2121	0.553402	1	no	0.404724	6.88064e-09	4	1
2.11081	2169	0.0768955	1	no	0.31318	9.68913e-09	4	1
2.45655	2173	0.218179	1	no	0.430902	5.97223e-09	4	1
2.49502	2207	0.26467	1	no	0.352639	6.35854e-09	4	1
2.61777	2249	0.0164373	1	no	0.114793	5.62796e-09	4	1
2.67308	2252	0.214424	1	no	0.325955	3.50266e-08	4	1
2.61701	2301	0.581394	1	no	0.376405	6.53982e-09	4	1
2.10703	2311	0.216369	1	no	0.408253	9.86826e-09	4	1
2.45754	2331	0.125955	1	no	0.312278	6.30262e-09	4	1
2.13097	2358	0.0495065	1	no	0.242043	1.07092e-08	4	1
2.00432	2363	0.114458	1	no	0.304385	8.16465e-09	4	1
3.08246	2364	0.81778	1	no	0.371908	5.4396e-09	4	1
2.06669	2406	0.128328	1	no	0.375322	8.43828e-09	4	1
2.84011	2420	0.214385	1	no	0.367208	9.28927e-09	4	1
2.62865	2496	0.586569	1	no	0.379651	9.05525e-09	4	1
2.39283	2524	0.240549	1	no	0.414928	6.78566e-09	4	1
2.34281	2538	0.24691	1	no	0.38344	1.08408e-08	4	1
2.65361	2545	0.310013	1	no	0.393612	7.72426e-09	4	1
2.6652	2558	0.150056	1	no	0.431553	5.76512e-09	4	1
2.14437	2666	0.292779	1	no	0.299316	1.05804e-08	4	1
1.68221	2699	0.243097	1	no	0.362967	7.59763e-09	4	1
2.03686	2718	0.186393	1	no	0.378105	7.08059e-09	4	1
