exp_num,start_time,stop_time,elapsed_s
0001,,2022-07-30 12:53:25.141055,0.002022-07-30 12:54:41.886444,0.00
0002,2022-07-30 12:55:10.142060,2022-07-30 12:55:58.549829,48.41
0003,2022-07-30 12:56:26.636436,2022-07-30 12:57:15.366223,48.73
0004,2022-07-30 12:57:43.628839,2022-07-30 12:58:31.543580,47.91
0005,2022-07-30 12:58:59.852199,2022-07-30 12:59:47.529926,47.68
0006,2022-07-30 13:00:15.859547,2022-07-30 13:01:04.486328,48.63
0007,2022-07-30 13:01:32.667940,2022-07-30 13:02:21.589738,48.92
0008,2022-07-30 13:02:49.869355,2022-07-30 13:03:37.822098,47.95
0009,2022-07-30 13:04:06.065714,2022-07-30 13:04:53.934452,47.87
0010,2022-07-30 13:05:22.050060,2022-07-30 13:06:10.152811,48.10
0011,2022-07-30 13:06:38.365425,2022-07-30 13:07:26.670187,48.30
0012,2022-07-30 13:07:54.869800,2022-07-30 13:08:42.378518,47.51
0013,2022-07-30 13:09:10.517127,2022-07-30 13:09:59.227913,48.71
0014,2022-07-30 13:10:27.467529,2022-07-30 13:11:15.372268,47.90
0015,2022-07-30 13:11:43.613884,2022-07-30 13:12:31.827641,48.21
0016,2022-07-30 13:13:00.163262,2022-07-30 13:13:48.320017,48.16
0017,2022-07-30 13:14:16.519630,2022-07-30 13:15:02.819278,46.30
0018,2022-07-30 13:15:31.100895,2022-07-30 13:16:19.216647,48.12
0019,2022-07-30 13:16:47.327255,2022-07-30 13:17:35.103988,47.78
0020,2022-07-30 13:18:03.363604,2022-07-30 13:18:51.919382,48.56
0021,2022-07-30 13:19:20.185998,2022-07-30 13:20:08.568766,48.38
0022,2022-07-30 13:20:36.831382,2022-07-30 13:21:24.834128,48.00
0023,2022-07-30 13:21:53.111745,2022-07-30 13:22:41.474511,48.36
0024,2022-07-30 13:23:09.779130,2022-07-30 13:23:57.756874,47.98
0025,2022-07-30 13:24:26.037492,2022-07-30 13:25:13.872228,47.83
0026,2022-07-30 13:25:41.983836,2022-07-30 13:26:29.370546,47.39
0027,2022-07-30 13:26:57.526157,2022-07-30 13:27:45.906924,48.38
0028,2022-07-30 13:28:14.111537,2022-07-30 13:29:02.185287,48.07
0029,2022-07-30 13:29:30.553909,2022-07-30 13:30:17.456592,46.90
0030,2022-07-30 13:30:45.601202,2022-07-30 13:31:34.585003,48.98
0031,2022-07-30 13:32:02.739614,2022-07-30 13:32:50.095322,47.36
0032,2022-07-30 13:33:18.308936,2022-07-30 13:34:04.735592,46.43
0033,2022-07-30 13:34:33.106214,2022-07-30 13:35:20.843945,47.74
0034,2022-07-30 13:35:49.041558,2022-07-30 13:36:37.663339,48.62
0035,2022-07-30 13:37:05.891953,2022-07-30 13:37:52.466617,46.57
0036,2022-07-30 13:38:20.651229,2022-07-30 13:39:08.183948,47.53
0037,2022-07-30 13:39:36.425563,2022-07-30 13:40:23.799273,47.37
0038,2022-07-30 13:40:51.982885,2022-07-30 13:41:40.321650,48.34
0039,2022-07-30 13:42:08.627269,2022-07-30 13:42:56.800024,48.17
0040,2022-07-30 13:43:24.934633,2022-07-30 13:44:13.880433,48.95
0041,2022-07-30 13:44:42.152050,2022-07-30 13:45:29.494758,47.34
0042,2022-07-30 13:45:57.732373,2022-07-30 13:46:45.061080,47.33
0043,2022-07-30 13:47:13.330697,2022-07-30 13:48:00.620401,47.29
0044,2022-07-30 13:48:28.698007,2022-07-30 13:49:15.999713,47.30
0045,2022-07-30 13:49:44.200326,2022-07-30 13:50:31.873053,47.67
0046,2022-07-30 13:51:00.211674,2022-07-30 13:51:46.692332,46.48
0047,2022-07-30 13:52:15.031953,2022-07-30 13:53:02.897691,47.87
0048,2022-07-30 13:53:31.178308,2022-07-30 13:54:19.572076,48.39
0049,2022-07-30 13:54:47.800691,2022-07-30 13:55:34.991390,47.19
0050,2022-07-30 13:56:03.200003,2022-07-30 13:56:51.477765,48.28
0051,2022-07-30 13:57:19.714380,2022-07-30 13:58:08.581175,48.87
0052,2022-07-30 13:58:36.796789,2022-07-30 13:59:24.787534,47.99
0053,2022-07-30 13:59:52.897141,2022-07-30 14:00:39.813825,46.92
0054,2022-07-30 14:01:08.026439,2022-07-30 14:01:54.793113,46.77
0055,2022-07-30 14:02:23.008727,2022-07-30 14:03:11.023474,48.01
0056,2022-07-30 14:03:39.222086,2022-07-30 14:04:26.809808,47.59
0057,2022-07-30 14:04:55.045423,2022-07-30 14:05:43.029168,47.98
0058,2022-07-30 14:06:11.202779,2022-07-30 14:06:59.719554,48.52
0059,2022-07-30 14:07:28.035174,2022-07-30 14:08:15.487888,47.45
0060,2022-07-30 14:08:43.697501,2022-07-30 14:09:31.548238,47.85
0061,2022-07-30 14:09:59.854857,2022-07-30 14:10:47.525584,47.67
0062,2022-07-30 14:11:15.941209,2022-07-30 14:12:03.444926,47.50
0063,2022-07-30 14:12:31.670541,2022-07-30 14:13:20.925358,49.25
0064,2022-07-30 14:13:49.109970,2022-07-30 14:14:36.872702,47.76
0065,2022-07-30 14:15:05.054314,2022-07-30 14:15:52.515028,47.46
0066,2022-07-30 14:16:20.684640,2022-07-30 14:17:07.712329,47.03
0067,2022-07-30 14:17:35.983946,2022-07-30 14:18:24.517722,48.53
0068,2022-07-30 14:18:52.689334,2022-07-30 14:19:40.543071,47.85
0069,2022-07-30 14:20:08.804687,2022-07-30 14:20:55.499358,46.69
0070,2022-07-30 14:21:23.629967,2022-07-30 14:22:11.283693,47.65
0071,2022-07-30 14:22:39.537309,2022-07-30 14:23:27.348043,47.81
