exp_num,start_time,stop_time,elapsed_s
0001,<UNKNOWN>,2022-08-24 14:29:21.831113,0.002022-08-24 14:31:41.530578,0.00
0002,2022-08-24 14:32:29.296494,2022-08-24 14:33:59.886115,90.59
0003,2022-08-24 14:34:47.660525,2022-08-24 14:36:19.728757,92.07
0004,2022-08-24 14:37:07.632781,2022-08-24 14:38:39.994391,92.36
0005,2022-08-24 14:39:27.683885,2022-08-24 14:41:00.821766,93.14
0006,2022-08-24 14:41:46.286852,2022-08-24 14:43:19.836037,93.55
0007,2022-08-24 14:44:06.757422,2022-08-24 14:45:37.981990,91.22
0008,2022-08-24 14:46:25.456672,2022-08-24 14:47:56.668027,91.21
0009,2022-08-24 14:48:43.890086,2022-08-24 14:50:14.196533,90.31
0010,2022-08-24 14:51:01.345401,2022-08-24 14:52:31.663233,90.32
0011,2022-08-24 14:53:19.080067,2022-08-24 14:54:50.173992,91.09
0012,2022-08-24 14:55:37.409153,2022-08-24 14:57:09.328683,91.92
0013,2022-08-24 14:57:56.904920,2022-08-24 14:59:27.794145,90.89
0014,2022-08-24 15:00:15.477609,2022-08-24 15:01:46.015320,90.54
0015,2022-08-24 15:02:33.699266,2022-08-24 15:04:05.366080,91.67
0016,2022-08-24 15:04:52.949739,2022-08-24 15:06:23.370411,90.42
0017,2022-08-24 15:07:10.712117,2022-08-24 15:08:44.194232,93.48
0018,2022-08-24 15:09:32.541068,2022-08-24 15:11:05.340038,92.80
0019,2022-08-24 15:11:53.413048,2022-08-24 15:13:26.627708,93.21
0020,2022-08-24 15:14:14.513970,2022-08-24 15:15:46.303493,91.79
0021,2022-08-24 15:16:33.638832,2022-08-24 15:18:04.941249,91.30
0022,2022-08-24 15:18:37.007108,
