exp_num,start_time,stop_time,elapsed_s
0001,2022-09-06 15:13:17.421976,2022-09-06 15:13:51.429742,0.00
0002,2022-09-06 15:14:17.284906,2022-09-06 15:14:23.616307,6.33
0003,2022-09-06 15:14:49.482472,2022-09-06 15:14:56.056428,6.57
0004,2022-09-06 15:15:21.995873,2022-09-06 15:15:28.353069,6.36
0005,2022-09-06 15:15:54.570509,2022-09-06 15:16:01.046115,6.48
0006,2022-09-06 15:16:27.327848,2022-09-06 15:16:33.809044,6.48
0007,2022-09-06 15:17:00.373810,2022-09-06 15:17:06.890624,6.52
0008,2022-09-06 15:17:33.078882,2022-09-06 15:17:39.509057,6.43
0009,2022-09-06 15:18:05.698964,2022-09-06 15:18:12.170745,6.47
0010,2022-09-06 15:18:38.641337,2022-09-06 15:18:45.226525,6.59
0011,2022-09-06 15:19:11.787182,2022-09-06 15:19:18.267186,6.48
0012,2022-09-06 15:19:44.079420,2022-09-06 15:19:50.524571,6.45
0013,2022-09-06 15:20:16.545292,2022-09-06 15:20:23.127702,6.58
0014,2022-09-06 15:20:48.841284,2022-09-06 15:20:55.286851,6.45
0015,2022-09-06 15:21:21.908675,2022-09-06 15:21:28.501800,6.59
0016,2022-09-06 15:21:54.425604,2022-09-06 15:22:00.993318,6.57
0017,2022-09-06 15:22:26.956277,2022-09-06 15:22:33.447370,6.49
0018,2022-09-06 15:22:59.548207,2022-09-06 15:23:06.050819,6.50
0019,2022-09-06 15:23:32.142936,2022-09-06 15:23:38.816626,6.67
0020,2022-09-06 15:24:04.900396,2022-09-06 15:24:11.397360,6.50
0021,2022-09-06 15:24:37.238179,2022-09-06 15:24:43.741480,6.50
0022,2022-09-06 15:25:10.073793,2022-09-06 15:25:16.578118,6.50
0023,2022-09-06 15:25:42.488538,2022-09-06 15:25:49.016210,6.53
0024,2022-09-06 15:26:15.184152,2022-09-06 15:26:21.769766,6.59
0025,2022-09-06 15:26:47.867230,2022-09-06 15:26:54.387714,6.52
0026,2022-09-06 15:27:20.616719,2022-09-06 15:27:27.233723,6.62
0027,2022-09-06 15:27:53.172584,2022-09-06 15:27:59.866325,6.69
0028,2022-09-06 15:28:26.161035,2022-09-06 15:28:32.796551,6.64
0029,2022-09-06 15:28:58.919442,2022-09-06 15:29:05.395588,6.48
0030,2022-09-06 15:29:31.702603,2022-09-06 15:29:38.296543,6.59
0031,2022-09-06 15:30:05.209045,2022-09-06 15:30:11.682635,6.47
0032,2022-09-06 15:30:38.153910,2022-09-06 15:30:44.716913,6.56
0033,2022-09-06 15:31:10.738354,2022-09-06 15:31:17.288805,6.55
0034,2022-09-06 15:31:42.787853,2022-09-06 15:31:49.266676,6.48
0035,2022-09-06 15:32:15.066448,2022-09-06 15:32:21.598093,6.53
0036,2022-09-06 15:32:47.368856,2022-09-06 15:32:53.944399,6.58
0037,2022-09-06 15:33:19.558082,2022-09-06 15:33:26.161143,6.60
0038,2022-09-06 15:33:51.794693,2022-09-06 15:33:58.309630,6.51
0039,2022-09-06 15:34:23.891076,2022-09-06 15:34:30.319926,6.43
0040,2022-09-06 15:34:56.555441,2022-09-06 15:35:03.093084,6.54
0041,2022-09-06 15:35:28.889378,2022-09-06 15:35:35.511723,6.62
0042,2022-09-06 15:36:01.403522,2022-09-06 15:36:07.895726,6.49
0043,2022-09-06 15:36:33.842620,2022-09-06 15:36:40.441619,6.60
0044,2022-09-06 15:37:06.212311,2022-09-06 15:37:12.882208,6.67
0045,2022-09-06 15:37:38.980663,2022-09-06 15:37:45.445016,6.46
0046,2022-09-06 15:38:11.460919,2022-09-06 15:38:17.943250,6.48
0047,2022-09-06 15:38:43.801783,2022-09-06 15:38:50.305243,6.50
0048,2022-09-06 15:39:16.352737,2022-09-06 15:39:22.886163,6.53
0049,2022-09-06 15:39:48.946478,2022-09-06 15:39:55.356557,6.41
0050,2022-09-06 15:40:21.343621,2022-09-06 15:40:27.905651,6.56
0051,2022-09-06 15:40:53.695594,2022-09-06 15:41:00.180808,6.49
0052,2022-09-06 15:41:26.025186,2022-09-06 15:41:32.479723,6.45
0053,2022-09-06 15:41:58.157887,2022-09-06 15:42:04.588655,6.43
0054,2022-09-06 15:42:30.359476,2022-09-06 15:42:36.756200,6.40
0055,2022-09-06 15:43:02.623705,
